Date,Month,Quarter,Day_of_Week,State,Category,Sales_Channel,Payment_Method,Customer_Gender,Customer_Age,Unit_Price_NGN,Quantity_Sold,Discount_Percent,Revenue_NGN,Profit_Margin,Profit_NGN,Customer_Rating,Item_Returned
2023-11-24,November,Q4,Friday,Kaduna,Cosmetics,Physical Store,Mobile Money,Male,68,6600.0,7,0,46200.0,0.3804,17574.48,3.3,0
2023-02-27,February,Q1,Monday,Port Harcourt,Cosmetics,Online,POS,Female,26,28900.0,11,20,254320.0,0.2324,59103.97,5.0,0
2023-01-13,January,Q1,Friday,Ibadan,Electronics,Physical Store,Cash,Male,20,103900.0,10,0,1039000.0,0.2535,263386.5,2.3,0
2023-05-21,May,Q2,Sunday,Kaduna,Food & Beverage,Wholesale,Bank Transfer,Female,42,1700.0,9,5,14535.0,0.293,4258.76,4.8,0
2023-05-06,May,Q2,Saturday,Kano,Clothing,Physical Store,Bank Transfer,Female,27,21300.0,14,5,283290.0,0.395,111899.55,1.6,0
2023-04-25,April,Q2,Tuesday,Benin City,Electronics,Online,Bank Transfer,Female,32,259100.0,13,0,3368300.0,0.0865,291357.95,3.1,0
2023-03-13,March,Q1,Monday,Ibadan,Clothing,Physical Store,POS,Female,21,16200.0,2,15,27540.0,0.2421,6667.43,1.7,0
2023-02-22,February,Q1,Wednesday,Ibadan,Books & Stationery,Online,Mobile Money,Male,48,5200.0,3,0,15600.0,0.3138,4895.28,4.1,0
2023-12-13,December,Q4,Wednesday,Kaduna,Clothing,Online,Cash,Female,20,24500.0,7,10,154350.0,0.3257,50271.8,3.6,0
2023-10-07,October,Q4,Saturday,Abuja,Food & Beverage,Online,POS,Male,43,4900.0,18,20,70560.0,0.3155,22261.68,4.0,0
2023-02-14,February,Q1,Tuesday,Kano,Books & Stationery,Online,Mobile Money,Female,29,5000.0,3,5,14250.0,0.1257,1791.22,2.8,0
2023-10-30,October,Q4,Monday,Kaduna,Clothing,Online,POS,Female,20,13700.0,10,20,109600.0,0.1818,19925.28,2.8,0
2023-08-05,August,Q3,Saturday,Kano,Books & Stationery,Online,Cash,Male,69,5900.0,7,0,41300.0,0.202,8342.6,1.7,0
2023-01-17,January,Q1,Tuesday,Kano,Clothing,Physical Store,Mobile Money,Male,71,3100.0,9,5,26505.0,0.3535,9369.52,2.7,0
2023-01-16,January,Q1,Monday,Benin City,Food & Beverage,Online,POS,Male,48,11100.0,17,0,188700.0,0.1748,32984.76,4.8,1
2023-02-17,February,Q1,Friday,Ibadan,Clothing,Online,Cash,Female,65,25600.0,11,10,253440.0,0.1516,38421.5,2.8,0
2023-04-22,April,Q2,Saturday,Port Harcourt,Clothing,Wholesale,Bank Transfer,Female,63,33200.0,7,20,185920.0,0.4055,75390.56,4.4,0
2023-04-30,April,Q2,Sunday,Benin City,Clothing,Physical Store,Cash,Male,56,34200.0,14,0,478800.0,0.083,39740.4,4.4,0
2023-09-16,September,Q3,Saturday,Benin City,Electronics,Physical Store,Bank Transfer,Male,34,239700.0,19,10,4098870.0,0.4193,1718656.19,2.8,1
2023-11-05,November,Q4,Sunday,Kano,Electronics,Online,POS,Male,37,137000.0,4,0,548000.0,0.3101,169934.8,3.7,0
2023-01-14,January,Q1,Saturday,Enugu,Electronics,Online,Mobile Money,Male,20,38400.0,6,5,218880.0,0.3617,79168.9,1.8,0
2023-10-15,October,Q4,Sunday,Ibadan,Food & Beverage,Online,Mobile Money,Female,17,8100.0,10,5,76950.0,0.1802,13866.39,1.9,1
2023-04-12,April,Q2,Wednesday,Abuja,Books & Stationery,Online,POS,Male,45,3200.0,7,20,17920.0,0.0849,1521.41,1.7,0
2023-11-29,November,Q4,Wednesday,Benin City,Cosmetics,Online,Mobile Money,Male,62,10400.0,13,10,121680.0,0.3309,40263.91,3.5,0
2023-12-26,December,Q4,Tuesday,Port Harcourt,Clothing,Online,Mobile Money,Male,54,38600.0,14,0,540400.0,0.3636,196489.44,3.0,0
2023-10-07,October,Q4,Saturday,Enugu,Clothing,Online,Bank Transfer,Male,19,33200.0,4,0,132800.0,0.3318,44063.04,3.4,0
2023-08-03,August,Q3,Thursday,Enugu,Food & Beverage,Online,POS,Female,48,4000.0,8,0,32000.0,0.1286,4115.2,3.3,0
2023-04-23,April,Q2,Sunday,Abuja,Clothing,Physical Store,Cash,Male,28,16000.0,5,0,80000.0,0.3362,26896.0,2.7,0
2023-08-18,August,Q3,Friday,Benin City,Electronics,Online,Bank Transfer,Female,35,151800.0,1,0,151800.0,0.3414,51824.52,3.9,0
