OrderID,OrderDate,Region,Store,ProductCategory,UnitPrice,Quantity,DiscountPercent,GrossSales,NetSales,Cost,Profit,PaymentMethod,CustomerSegment,CustomerAge,CustomerGender,SatisfactionScore,DeliveryDays
ORD103076,2023-03-21,South,Store_06,Electronics,374.09,1,15.0,374.09,2934.991210432297,217.65,1257.3155396859693,Cash,New,45.0,Female,3.5,1.0
ORD104130,2023-01-07,South,Store_19,Beauty,47.48,1,0.0,47.48,47.48,32.54,14.94,Cash,Returning,40.0,Female,3.7,3.0
ORD104684,2024-01-13,West,Store_03,Groceries,21.36,2,0.0,42.72,42.72,23.64,19.08,Bank Transfer,New,31.0,Female,2.1,1.0
ORD103293,2023-07-31,West,Store_06,Clothing,184.86,4,0.0,887.33,887.33,400.22,487.11,Debit Card,Returning,45.0,Female,5.0,0.0
ORD102397,2023-07-31,Central,Store_19,Home & Living,51.84,1,0.0,62.21,62.21,36.57,25.64,Credit Card,Returning,37.0,Male,2.6,4.0
ORD102906,2024-04-01,Central,Store_06,Clothing,67.37,2,15.0,134.74,114.53,68.9,45.63,Mobile Wallet,New,28.0,Male,3.5,1.0
ORD101940,2023-05-01,North,Store_14,Groceries,52.73,5,0.0,263.65,263.65,120.8,142.85,Mobile Wallet,VIP,45.0,Male,4.3,5.0
ORD105838,2023-07-22,Central,Store_10,Groceries,19.14,1,0.0,22.97,22.97,15.24,7.73,Mobile Wallet,Returning,46.0,,4.0,4.0
ORD103106,2024-09-20,West,Store_19,Groceries,44.49,2,0.0,88.98,88.98,40.16,48.82,Debit Card,Returning,42.0,Female,3.5,5.0
ORD105297,2024-04-30,West,Store_02,Beauty,127.61,2,5.0,255.22,242.46,145.79,96.67,Debit Card,Returning,,Female,,7.0
ORD105152,2023-07-10,Central,Store_16,Electronics,488.91,1,25.0,586.69,440.02,312.71,127.31,Debit Card,New,79.0,Male,3.0,6.0
ORD103086,2023-05-13,West,Store_10,Groceries,41.51,2,15.0,83.02,70.57,36.15,34.42,Cash,Returning,36.0,Male,4.2,2.0
ORD101985,2024-08-02,South,Store_07,Home & Living,416.81,1,0.0,416.81,416.81,264.91,151.9,Bank Transfer,New,44.0,Male,3.9,3.0
